Concurrency, avg, rps
1, 0.00659394264221, 146.066655058
501, 0.458214496186, 578.933676871
1001, 0.917760227586, 558.438301288
1501, 1.36911902167, 545.466292062
2001, 2.48519821217, 407.935606385
2501, 3.20247443692, 400.004541692
3001, 3.52620407511, 443.626086037
3501, 4.26787128608, 422.049530165
4001, 11.7324283282, 163.328242235
4501, 8.52920883519, 272.306406578
4890, 7.72190777851, 321.342505813
5281, 9.02919238283, 285.040542056
5673, 13.3226543615, 232.5292365
6054, 8.67903081147, 359.639832334
6440, 8.23218063431, 396.505580225
6839, 10.9030992276, 286.299742788
7233, 10.4490041376, 350.236341838
7628, 9.84888305021, 367.339741698
8004, 12.9792656902, 286.778409598
8393, 11.6551484048, 333.808161203
